sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0.8,1,,1.8833,1.8,0.0833,4.6289,,,1.8833,1.8,0.0833,4.6289,,,,1.8,1.8833,0.0833,4.4241,,
0.9,0,,1.7284,0.9,0.8284,92.0386,,,1.5292,0.9,0.6291,69.9022,,,,0.9,1.4933,0.5932,39.7278,,
0.9,0.1,,1.0676,1,0.0676,6.7623,,,1.0696,1,0.0696,6.959,,,,1,1.07,0.0699,6.5362,,
0.9,0.2,,1.0594,1.1,0.0406,3.6892,,,1.0596,1.1,0.0405,3.6777,,,,1.1,1.0596,0.0404,3.8153,,
0.9,0.3,,1.4197,1.2,0.2197,18.3094,,,1.419,1.2,0.219,18.2503,,,,1.2,1.4189,0.2189,15.427,,
0.9,0.4,,1.2493,1.3,0.0507,3.9024,,,1.2493,1.3,0.0508,3.9049,,,,1.3,1.2493,0.0508,4.064,,
0.9,0.5,,1.2212,1.4,0.1789,12.7761,,,1.2211,1.4,0.1789,12.7771,,,,1.4,1.2211,0.1789,14.6492,,
0.9,0.6,,1.6454,1.5,0.1454,9.691,,,1.6454,1.5,0.1454,9.691,,,,1.5,1.6454,0.1454,8.8348,,
0.9,0.7,,1.2465,1.6,0.3535,22.0924,,,1.2465,1.6,0.3535,22.0924,,,,1.6,1.2465,0.3535,28.3572,,
0.9,0.8,,2.4845,1.7,0.7845,46.1468,,,2.4845,1.7,0.7845,46.1468,,,,1.7,2.4845,0.7845,31.5756,,
0.9,0.9,,1.7586,1.8,0.0414,2.2997,,,1.7586,1.8,0.0414,2.2997,,,,1.8,1.7586,0.0414,2.3539,,
0.9,1,,1.7595,1.9,0.1406,7.3973,,,1.7595,1.9,0.1406,7.3973,,,,1.9,1.7595,0.1406,7.9883,,
1,0,,2.2553,1,1.2552,125.5206,,,2.3951,1,1.3951,139.508,,,,1,2.4078,1.4078,58.4672,,
1,0.1,,1.2133,1.1,0.1133,10.2972,,,1.2124,1.1,0.1123,10.2118,,,,1.1,1.2122,0.1122,9.2569,,
1,0.2,,1.3275,1.2,0.1274,10.62,,,1.3278,1.2,0.1277,10.6448,,,,1.2,1.3278,0.1278,9.6226,,
1,0.3,,1.4267,1.3,0.1267,9.7429,,,1.4262,1.3,0.1262,9.7051,,,,1.3,1.4261,0.1261,8.8411,,
1,0.4,,1.0294,1.4,0.3706,26.4717,,,1.0291,1.4,0.3709,26.4926,,,,1.4,1.0291,0.3709,36.0468,,
1,0.5,,1.6522,1.5,0.1522,10.1469,,,1.6522,1.5,0.1522,10.1437,,,,1.5,1.6522,0.1521,9.2091,,
1,0.6,,1.6391,1.6,0.0391,2.4433,,,1.6391,1.6,0.0391,2.4432,,,,1.6,1.6391,0.0391,2.3849,,
1,0.7,,1.8577,1.7,0.1577,9.2739,,,1.8577,1.7,0.1577,9.2739,,,,1.7,1.8577,0.1577,8.4868,,
1,0.8,,1.6215,1.8,0.1785,9.9188,,,1.6216,1.8,0.1784,9.913,,,,1.8,1.6216,0.1784,11.0026,,
1,0.9,,1.8943,1.9,0.0058,0.3027,,,1.8943,1.9,0.0058,0.3027,,,,1.9,1.8943,0.0058,0.3036,,
1,1,,2.0158,2,0.0157,0.7872,,,2.0158,2,0.0157,0.7872,,,,2,2.0158,0.0157,0.781,,
