sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0.4,0.9,,1.276645859,1.30002,0.0234,1.798,,,1.276645859,1.30002,0.0234,1.798,,,,1.276645859,1.30002,2.34E-02,1.80E+00,,
0.4,1,,1.376674573,1.40002,0.0233,1.6675,,,1.376674573,1.40002,0.0233,1.6675,,,,1.376674573,1.40002,2.33E-02,1.67E+00,,
0.5,0,,0.459176203,0.50002,0.0408,8.1684,,,0.447746466,0.50002,0.0523,10.4543,,,,0.44566522,0.50002,5.44E-02,1.09E+01,,
0.5,0.1,,0.626690487,0.60002,0.0267,4.4449,,,0.626589656,0.60002,0.0266,4.4281,,,,0.626575102,0.60002,2.66E-02,4.43E+00,,
0.5,0.2,,0.710330357,0.70002,0.0103,1.4729,,,0.710314016,0.70002,0.0103,1.4705,,,,0.710316698,0.70002,1.03E-02,1.47E+00,,
0.5,0.3,,0.800732474,0.80002,0.0007,0.0891,,,0.800750305,0.80002,0.0007,0.0913,,,,0.800751646,0.80002,7.32E-04,9.15E-02,,
0.5,0.4,,0.889115532,0.90002,0.0109,1.2116,,,0.889112254,0.90002,0.0109,1.2119,,,,0.889112453,0.90002,1.09E-02,1.21E+00,,
0.5,0.5,,0.985792875,1.00002,0.0142,1.4227,,,0.985795061,1.00002,0.0142,1.4225,,,,0.985795856,1.00002,1.42E-02,1.42E+00,,
0.5,0.6,,1.078253984,1.10002,0.0218,1.9787,,,1.078251402,1.10002,0.0218,1.9789,,,,1.078251104,1.10002,2.18E-02,1.98E+00,,
0.5,0.7,,1.172595024,1.20002,0.0274,2.2854,,,1.172595024,1.20002,0.0274,2.2854,,,,1.172594825,1.20002,2.74E-02,2.29E+00,,
0.5,0.8,,1.270901759,1.30002,0.0291,2.2398,,,1.270901561,1.30002,0.0291,2.2398,,,,1.270901561,1.30002,2.91E-02,2.24E+00,,
0.5,0.9,,1.371569633,1.40002,0.0285,2.0321,,,1.371570031,1.40002,0.0284,2.0321,,,,1.371570031,1.40002,2.84E-02,2.03E+00,,
0.5,1,,1.467395624,1.50002,0.0326,2.1749,,,1.467395624,1.50002,0.0326,2.1749,,,,1.467395624,1.50002,3.26E-02,2.17E+00,,
0.6,0,,0.796183248,0.60002,0.1962,32.6928,,,0.793035527,0.60002,0.193,32.1682,,,,0.792038192,0.60002,1.92E-01,3.20E+01,,
0.6,0.1,,0.718436092,0.70002,0.0184,2.6308,,,0.71839263,0.70002,0.0184,2.6246,,,,0.718402863,0.70002,1.84E-02,2.63E+00,,
0.6,0.2,,0.797931254,0.80002,0.0021,0.2611,,,0.797907362,0.80002,0.0021,0.2641,,,,0.797904531,0.80002,2.12E-03,2.64E-01,,
0.6,0.3,,0.8901456,0.90002,0.0099,1.0971,,,0.890134076,0.90002,0.0099,1.0984,,,,0.890129805,0.90002,9.89E-03,1.10E+00,,
0.6,0.4,,0.983497699,1.00002,0.0165,1.6522,,,0.983491639,1.00002,0.0165,1.6528,,,,0.983490845,1.00002,1.65E-02,1.65E+00,,
0.6,0.5,,1.071659029,1.10002,0.0284,2.5782,,,1.071655949,1.10002,0.0284,2.5785,,,,1.071655154,1.10002,2.84E-02,2.58E+00,,
0.6,0.6,,1.175843974,1.20002,0.0242,2.0146,,,1.175839702,1.20002,0.0242,2.015,,,,1.175839305,1.20002,2.42E-02,2.02E+00,,
0.6,0.7,,1.270401577,1.30002,0.0296,2.2783,,,1.270400683,1.30002,0.0296,2.2784,,,,1.270400683,1.30002,2.96E-02,2.28E+00,,
0.6,0.8,,1.368579765,1.40002,0.0314,2.2457,,,1.368579765,1.40002,0.0314,2.2457,,,,1.368579765,1.40002,3.14E-02,2.25E+00,,
0.6,0.9,,1.465276579,1.50002,0.0347,2.3162,,,1.465276579,1.50002,0.0347,2.3162,,,,1.465276579,1.50002,3.47E-02,2.32E+00,,
0.6,1,,1.562511424,1.60002,0.0375,2.3443,,,1.562511424,1.60002,0.0375,2.3443,,,,1.562511325,1.60002,3.75E-02,2.34E+00,,
0.7,0,,0.860817333,0.70002,0.1608,22.9704,,,0.794516951,0.70002,0.0945,13.4992,,,,0.786028504,0.70002,8.60E-02,1.23E+01,,
0.7,0.1,,0.810824931,0.80002,0.0108,1.3506,,,0.810832133,0.80002,0.0108,1.3515,,,,0.810837249,0.80002,1.08E-02,1.35E+00,,
0.7,0.2,,0.894385477,0.90002,0.0056,0.626,,,0.894406736,0.90002,0.0056,0.6237,,,,0.894401868,0.90002,5.62E-03,6.24E-01,,
0.7,0.3,,0.981771747,1.00002,0.0182,1.8248,,,0.981768767,1.00002,0.0183,1.8251,,,,0.98176827,1.00002,1.83E-02,1.83E+00,,
0.7,0.4,,1.076327066,1.10002,0.0237,2.1539,,,1.076322794,1.10002,0.0237,2.1543,,,,1.076321205,1.10002,2.37E-02,2.15E+00,,
